Signal Id,SignalGrowth,Trades,ProfitTrades%,ProfitTrades,LossTrades%,LossTrades,WinRate,BestTrades,WorstTrades,GrossProfit,GrossLoss,SharpeRatio,RecoveryFactor,ProfitFactor,ExpectedPayoff,MonthlyGrowth,AlgoTrading
1894325,68.88,1182,71.31979695,843,28.68020305,339,40.21352313,19.53,-17.34,2378.52,-1033.8,0.27,35.45,2.3,1.14,11.14,100
910374,1445.21,457,80.08752735,366,19.91247265,91,24.86338798,122.75,-57.98,3837.48,-817.38,0.34,32.45,4.69,6.61,18.18,98
1531887,543.36,3681,66.17766911,2436,33.82233089,1245,51.10837438,91.96,-207.59,15686.8,-13973.87,0.09,2.4,1.12,0.47,-19.57,93
1526229,563.88,3858,74.36495594,2869,25.63504406,989,34.47194144,30.11,-129.48,15058.66,-10308.25,0.16,8.02,1.46,1.23,12.99,99
1312512,937.68,1189,74.60050463,887,25.39949537,302,34.04735062,97.36,-158.98,5129.19,-2316.29,0.24,9.76,2.21,2.37,112.7,60
1274869,481.48,754,77.18832891,582,22.81167109,172,29.5532646,36.15,-40.52,1580.32,-960.2,0.23,5.17,1.65,0.82,-0.14,74
1612455,514.11,1087,59.52161914,647,40.47838086,440,68.00618238,983.8,-187.64,9318.36,-4242.59,0.13,11.05,2.2,4.67,1.75,0
1594934,525.54,3703,75.20928977,2785,24.79071023,918,32.96229803,84.33,-178.01,9868.06,-8745.45,0.09,0.99,1.13,0.3,-14.92,99
1908576,358.92,414,74.87922705,310,25.12077295,104,33.5483871,80,-24.99,3953.59,-697.13,0.62,22.9,5.67,7.87,11.99,2
1507561,438.94,99,43.43434343,43,56.56565657,56,130.2325581,97.66,-58.67,1950.01,-1291.6,0.2,3.36,1.51,6.65,-4.96,0
1415131,575.71,818,71.14914425,582,28.85085575,236,40.54982818,1254.51,-3297.29,54677.51,-18469.76,0.24,10.94,2.96,44.26,7.99,84
1607553,255.13,1395,66.52329749,928,33.47670251,467,50.32327586,123.97,-76.25,1931.1,-1593.64,0.07,2.38,1.21,0.24,-21.61,99
1882495,27.25,71,74.64788732,53,25.35211268,18,33.96226415,50.46,-90.21,858.09,-469.83,0.26,2.06,1.83,5.47,0.89,0
1059619,415.74,2661,67.11762495,1786,32.88237505,875,48.99216125,154.06,-322.06,19226.52,-11503.45,0.13,3.65,1.67,2.9,0.22,99
1196985,422.79,597,84.58961474,505,15.41038526,92,18.21782178,196.88,-475.89,13561.73,-10346.35,0.17,2.27,1.31,5.39,11.94,100
1500355,521.37,664,88.70481928,589,11.29518072,75,12.73344652,27.95,-18.52,829.73,-249.69,0.28,23.96,3.32,0.87,10.8,99
1279728,315.79,881,77.18501703,680,22.81498297,201,29.55882353,21.53,-32.86,993.57,-618.1,0.15,6.05,1.61,0.43,-0.78,77
1729929,297.27,240,80.41666667,193,19.58333333,47,24.35233161,140.6,-229.18,4540.45,-1896.57,0.22,8.51,2.39,11.02,11.78,100
1815355,492.69,755,74.70198675,564,25.29801325,191,33.86524823,792.31,-567.47,33893.34,-23720,0.16,2.57,1.43,13.47,15.24,0
1559158,300.65,2746,65.18572469,1790,34.81427531,956,53.40782123,302.99,-477.47,27057.5,-24194.93,0.09,1.17,1.12,1.04,2.52,99
1856252,358.21,227,60.35242291,137,39.64757709,90,65.69343066,147.99,-74.83,3017.36,-1416.19,0.22,9.59,2.13,7.05,31.34,96
1818742,337.04,386,56.99481865,220,43.00518135,166,75.45454545,81.17,-28.51,1136.29,-480.67,0.05,11.14,2.36,1.7,27.48,39
726729,709.41,7099,86.70235244,6155,13.29764756,944,15.33712429,588.29,-970.23,35166.06,-17056.35,0.11,6.86,2.06,2.55,3.43,99
1734499,830.27,335,60,201,40,134,66.66666667,28265,-8750,246454.88,-151167.41,0.2,2.95,1.63,284.44,-10.95,0
1368784,1714.22,1901,74.96054708,1425,25.03945292,476,33.40350877,28.95,-156.79,4836.24,-3579.24,0.13,4.94,1.35,0.66,-2.23,95
1771522,312.47,409,69.68215159,285,30.31784841,124,43.50877193,113.32,-95.4,3235.85,-1227.21,0.25,13.03,2.64,4.91,20.54,0
1333772,236.21,1499,58.90593729,883,41.09406271,616,69.76217441,1793.4,-301.49,25187.36,-14015.19,0.16,5.74,1.8,7.45,5.13,99
1619669,280.57,296,59.12162162,175,40.87837838,121,69.14285714,766.31,-749.72,25991.44,-21396.08,0.12,1.46,1.21,15.52,-4.46,26
1790688,307.73,710,80.98591549,575,19.01408451,135,23.47826087,49.99,-32.33,3818.9,-1181.16,0.45,7.22,3.23,3.72,21.53,74
1486635,506.77,205,43.90243902,90,56.09756098,115,127.7777778,738.12,-546.86,17182.77,-11782.62,0.15,2.73,1.46,26.34,-6.03,0
1175589,480.75,2167,78.86479003,1709,21.13520997,458,26.79929783,277.66,-73.8,6388.6,-3982.08,0.12,7.66,1.6,1.11,8.32,100
1437154,259.85,1107,72.99006323,808,27.00993677,299,37.0049505,62.38,-147.38,1421.18,-1565.05,0,-0.2,0.91,-0.13,5.44,95
1888448,627.48,458,67.68558952,310,32.31441048,148,47.74193548,11.71,-7.86,614.24,-257.69,0.44,1.91,2.38,0.78,6.89,100
1800017,94.11,881,71.05561862,626,28.94438138,255,40.73482428,374.36,-967.54,10666.85,-8896.05,0.07,0.62,1.2,2.01,-47.24,98
1473495,251.53,1181,57.57832345,680,42.42167655,501,73.67647059,63.47,-63.32,6396.73,-4687.92,0.14,4.12,1.36,1.45,3.17,100
1794327,440.72,219,61.64383562,135,38.35616438,84,62.22222222,191.53,-137.47,3227.66,-2049.43,0.15,5.01,1.57,5.38,36.57,14
956328,381.78,3271,71.26261082,2331,28.73738918,940,40.32604033,9.61,-15.54,2037.59,-1655.81,0.07,3.63,1.23,0.12,8.98,99
1869110,75.5,477,95.17819706,454,4.821802935,23,5.066079295,37.55,-163.95,1292.16,-537.19,0.17,3.78,2.41,1.58,20.92,0
1765169,248.6,1697,77.31290513,1312,22.68709487,385,29.3445122,209.59,-233.51,3195.06,-1940.72,0.07,4.17,1.65,0.74,10.81,60
1739862,250.55,420,73.80952381,310,26.19047619,110,35.48387097,618.11,-237.72,11220.62,-6099.42,0.23,9.63,1.84,12.19,20.74,99
1560883,229.55,766,77.80678851,596,22.19321149,170,28.52348993,3.24,-6.77,302.62,-162.93,0.28,14.25,1.86,0.18,0.99,75
721761,304.21,1640,80.06097561,1313,19.93902439,327,24.90479817,130.31,-249.52,16911.49,-10912.13,0.15,1.84,1.55,3.66,4.34,98
1620214,638.01,462,78.57142857,363,21.42857143,99,27.27272727,121.84,-75.45,2974.54,-857.85,0.38,19.1,3.47,4.58,20.57,100
1697110,610.46,958,80.48016701,771,19.51983299,187,24.2542153,181.6,-272.4,7017.31,-2995.63,0.19,9.41,2.34,4.2,10.48,64
1339793,230.32,1748,72.71167048,1271,27.28832952,477,37.52950433,64.24,-151.21,1546.44,-1095.02,0.07,2.24,1.41,0.26,22.44,99
1818700,394.2,340,73.23529412,249,26.76470588,91,36.54618474,79.79,-47.14,3573.01,-1007.32,0.34,16.4,3.55,7.55,6.58,0
1738189,558.62,3038,75.08229098,2281,24.91770902,757,33.1871986,787.48,-162.77,13696.14,-7685.56,0.06,8.11,1.78,1.98,3.62,100
1577690,223.29,3075,70.86178862,2179,29.13821138,896,41.11977972,2775.48,-1468.54,124522.6,-57508.68,0.16,19.66,2.17,21.79,5.95,100
1775340,204.99,86,77.90697674,67,22.09302326,19,28.35820896,59.42,-25.85,323.72,-122.58,0.26,4.59,2.64,2.34,-4.64,0
1428074,220.91,1209,77.33664185,935,22.66335815,274,29.30481283,59.06,-30.26,1459.79,-858.24,0.12,6.72,1.7,0.5,7.36,91
884935,200.44,896,76.00446429,681,23.99553571,215,31.5712188,18.69,-31.59,900.03,-633.32,0.16,2.13,1.42,0.3,-1.92,99
1657121,206.58,625,70.24,439,29.76,186,42.3690205,96.91,-37.1,2771.29,-1015.21,0.18,12.73,2.73,2.81,5.77,89
980283,1019.11,2974,77.23604573,2297,22.76395427,677,29.47322595,119.76,-115.98,8863.92,-3584.1,0.18,33.35,2.47,1.78,6.09,99
1773532,10.8,1018,68.95874263,702,31.04125737,316,45.01424501,293.12,-63.18,2433.03,-1760.14,0.07,3.44,1.38,0.66,-57.27,86
1766402,216.09,508,76.57480315,389,23.42519685,119,30.59125964,116.4,-40.96,2066.91,-954.04,0.21,11.54,2.17,2.19,17.49,0
1862446,213.33,273,65.93406593,180,34.06593407,93,51.66666667,229.01,-61.11,3357.89,-1197.47,0.26,18.37,2.8,7.91,21.64,93
1735873,195.2,595,65.04201681,387,34.95798319,208,53.74677003,706.98,-185.05,11722.84,-5493.47,0.14,8.2,2.13,10.47,2.58,9
1747476,218.38,2465,79.22920892,1953,20.77079108,512,26.21607783,2768.01,-280.68,14598.75,-7561.33,0.04,3.88,1.93,2.85,19.01,95
1816578,194.04,1320,70.75757576,934,29.24242424,386,41.32762313,350,-400.5,41897.92,-19160.28,0.19,25.99,2.19,17.23,1.61,0
1904950,240.39,1058,72.11720227,763,27.88279773,295,38.66317169,81.67,-75.02,2700.54,-1456.72,0.19,16.29,1.85,1.18,15.73,98
1232864,182.26,603,72.47097844,437,27.52902156,166,37.98627002,734.63,-124.15,5636.42,-1891.89,0.16,4.99,2.98,6.21,10.57,99
1102360,174.05,6945,75.4787617,5242,24.5212383,1703,32.48760015,566.42,-138.85,26078.92,-16809.39,0.07,13.93,1.55,1.33,2.83,100
1774107,175.68,908,72.35682819,657,27.64317181,251,38.20395738,840.71,-25.36,3905.6,-1252.78,0.06,17.29,3.12,2.92,8.42,99
1802508,-50.84,132,81.81818182,108,18.18181818,24,22.22222222,27.01,-195.09,265.55,-316.39,0.03,-0.22,0.84,-0.39,-79.64,99
1342817,173.23,308,71.1038961,219,28.8961039,89,40.63926941,354.64,-111.84,4574.36,-1860.41,0.25,7.02,2.46,8.81,9.54,100
1904592,469.14,1849,76.25743645,1410,23.74256355,439,31.13475177,60,-60.19,4124.96,-3097.02,0.07,3.37,1.33,0.56,23.58,24
1889903,22.39,225,70.22222222,158,29.77777778,67,42.40506329,14.02,-5.53,362.06,-92.63,0.47,12.3,3.91,1.2,10.01,58
1849190,107.85,282,82.62411348,233,17.37588652,49,21.03004292,210.09,-120.03,4816.05,-1112.23,0.46,14.96,4.33,13.13,8.17,70
1454267,273.7,287,79.44250871,228,20.55749129,59,25.87719298,196.24,-556.6,14718.79,-9244.74,0.15,2.62,1.59,19.07,19.45,97
1521998,417.21,470,47.44680851,223,52.55319149,247,110.7623318,1095.12,-691.39,45055.72,-24765.84,0.19,7.28,1.82,43.17,44.16,99
1851162,175.99,715,69.37062937,496,30.62937063,219,44.15322581,30.78,-10.58,1013.5,-344.44,0.25,21.94,2.94,0.94,11.55,100
1842919,178.24,402,72.13930348,290,27.86069652,112,38.62068966,20.66,-33.77,953.06,-596.58,0.18,3.04,1.6,0.89,23.93,80
1858561,118.31,229,62.44541485,143,37.55458515,86,60.13986014,47.45,-68.3,1188.71,-833.78,0.16,1.62,1.43,1.55,1.83,0
1748758,315.34,99,82.82828283,82,17.17171717,17,20.73170732,47.45,-32.38,463.03,-242.57,0.22,1.61,1.91,2.23,5.82,100
1821711,162.37,1301,72.86702537,948,27.13297463,353,37.23628692,21.66,-23.98,2810.6,-1172.59,0.25,63.91,2.4,1.26,6.08,100
1794386,151.71,1848,75.32467532,1392,24.67532468,456,32.75862069,853.83,-271.2,18426.98,-13151.17,0.08,3.02,1.4,2.85,4.54,99
1855005,148.56,407,69.28746929,282,30.71253071,125,44.32624113,82.46,-23.97,781.67,-457.16,0.12,2.59,1.71,0.8,7.06,93
1852765,134.59,243,76.54320988,186,23.45679012,57,30.64516129,144.9,-100.75,1389.23,-747.29,0.18,3.57,1.86,2.64,-3.64,92
1772361,143.94,673,62.10995542,418,37.89004458,255,61.00478469,98.67,-164.51,5386.42,-3227.39,0.14,7.62,1.67,3.21,14.1,5
1747480,181.29,1636,79.52322738,1301,20.47677262,335,25.74942352,1347.2,-153.99,9786.11,-4384.25,0.07,7.1,2.23,3.3,17.88,93
1734270,45.82,253,77.86561265,197,22.13438735,56,28.42639594,35.12,-68.2,715.49,-450.62,0.13,3.4,1.59,1.05,-40.69,98
1176110,270.92,462,69.91341991,323,30.08658009,139,43.03405573,215,-126,3559.09,-2468.26,0.12,3.76,1.44,2.36,1.46,86
1438708,88.61,442,39.36651584,174,60.63348416,268,154.0229885,1156.22,-944.8,40465.72,-31540.63,0.09,1.84,1.28,20.19,-27.78,92
1662008,101.62,819,75.57997558,619,24.42002442,200,32.31017771,89.04,-111.97,8370.53,-7463.09,0.1,1.05,1.12,1.11,-19.84,99
1379486,132.17,540,64.44444444,348,35.55555556,192,55.17241379,96.67,-116,12356.11,-9521.53,0.14,4.84,1.3,5.25,5.31,0
1861786,189.64,487,75.97535934,370,24.02464066,117,31.62162162,1365.31,-469.88,18964.76,-9408.91,0.19,5.86,2.02,19.62,41,93
1792156,123.71,220,57.27272727,126,42.72727273,94,74.6031746,5.1,-6.32,608.1,-484.42,0.17,1.18,1.26,0.56,-10.95,100
1673465,446.27,336,70.53571429,237,29.46428571,99,41.7721519,75.78,-118.23,2046.62,-1700.39,0.12,1.15,1.2,1.03,-15.67,47
1463760,81.46,5232,68.08103976,3562,31.91896024,1670,46.88377316,384.6,-914.66,70281.22,-64946.58,0.07,1.39,1.08,1.02,-11.2,91
1733865,152.8,568,69.71830986,396,30.28169014,172,43.43434343,61.79,-24.15,2108.42,-850.6,0.29,8.05,2.48,2.21,24.13,99
1539593,298.02,339,75.81120944,257,24.18879056,82,31.90661479,10.37,-15.49,568.62,-288.48,0.35,8.67,1.97,0.83,-2.29,100
1355749,344.12,841,77.28894174,650,22.71105826,191,29.38461538,2.33,-4.75,304.22,-151.18,0.21,5.42,2.01,0.18,0.54,100
1352590,713.49,9958,67.43321952,6715,32.56678048,3243,48.29486225,2316.67,-1623.95,108943.94,-88842.95,0.04,4.13,1.23,2.02,-2.47,98
1349944,285.72,2682,49.58985831,1330,50.41014169,1352,101.6541353,298.48,-187.53,25170.87,-21415.12,0.05,4.15,1.18,1.4,-8.14,99
1669167,122.92,996,66.46586345,662,33.53413655,334,50.45317221,113.97,-52.18,3158.69,-1910.13,0.16,6.33,1.65,1.25,7,100
708479,129.25,1837,75.23135547,1382,24.76864453,455,32.92329957,233.39,-544.68,33678.34,-32211.97,0.05,0.35,1.05,0.8,9.83,97
1609804,-97.75,2702,72.09474463,1948,27.90525537,754,38.7063655,243.92,-1145.65,7295.35,-8143.11,0,-0.34,0.9,-0.31,-99.08,98
1395432,115.15,694,72.47838617,503,27.52161383,191,37.972167,124.54,-114.37,1333.75,-924.5,0.09,3.58,1.44,0.59,-6.82,99
1708317,313.08,470,79.57446809,374,20.42553191,96,25.6684492,4330.47,-1312.63,37838.21,-11672.58,0.16,14.04,3.24,55.67,24.73,93
1727318,123.46,2150,70.74418605,1521,29.25581395,629,41.35437212,1862.08,-456.53,71166.18,-28002.48,0.17,26.74,2.54,20.08,15.92,99
1800927,129.54,1330,76.16541353,1013,23.83458647,317,31.29318855,1044.38,-356.16,20838.4,-8768.32,0.18,12.65,2.38,9.08,14.65,100
1734127,111.15,1466,78.30832196,1148,21.69167804,318,27.70034843,162.46,-343.26,9876.17,-7444.16,0.09,3.12,1.33,1.66,-4.6,99
1543908,158.2,2146,64.39888164,1382,35.60111836,764,55.28219971,160.67,-68.34,4674.55,-2394.12,0.15,5.26,1.95,1.06,3.47,100
1732925,192.65,1642,38.85505481,638,61.14494519,1004,157.3667712,60.72,-70.34,3220.78,-2718.51,0.06,2.98,1.18,0.31,-9.69,100
984345,145.53,2771,66.97942981,1856,33.02057019,915,49.29956897,36.75,-58.04,4614.3,-3450.03,0.07,2.44,1.34,0.42,4.08,100
1755281,160.84,1239,87.16707022,1080,12.83292978,159,14.72222222,1394.72,-386.6,21568.86,-11534.15,0.08,6.63,1.87,8.1,9.32,100
1548291,114.29,1925,66.23376623,1275,33.76623377,650,50.98039216,451.5,-443.92,20147.67,-12059.44,0.12,18.22,1.67,4.2,2.78,96
1851616,116.74,278,70.86330935,197,29.13669065,81,41.11675127,120.95,-30.35,1292.33,-533.09,0.18,5.06,2.42,2.73,14.93,99
1825005,129.02,1347,72.30883445,974,27.69116555,373,38.29568789,43.53,-61.62,3199.8,-1867.61,0.18,3.59,1.71,0.99,28.09,97
,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,,,,,,,,
1333106,291.23,1642,68.02679659,1117,31.97320341,525,47.00089526,516.12,-381.78,13893,-8068.48,0.1,15.26,1.72,3.55,1.98,100
1766188,184.99,877,69.21322691,607,30.78677309,270,44.48105437,40.14,-67.14,3303.26,-2748.97,0.08,1.33,1.2,0.63,41.38,0
1759278,177.85,1829,77.2006561,1412,22.7993439,417,29.5325779,1365.89,-508.46,18302.18,-12491.21,0.06,3.89,1.47,3.18,34.02,99
1892660,55.2,85,47.05882353,40,52.94117647,45,112.5,26.29,-11.62,707.69,-446.17,0.28,2.62,1.59,3.08,-9.16,0
1852746,110.2,785,71.84713376,564,28.15286624,221,39.18439716,79.12,-19.42,2608.7,-1183.68,0.22,9.22,2.2,1.82,6.32,69
1673223,221.98,9087,61.23032904,5564,38.76967096,3523,63.31775701,280.27,-146.2,28381.38,-14611.58,0.11,17.82,1.94,1.52,3.42,99
1912421,123.08,1422,60.82981716,865,39.17018284,557,64.39306358,37.64,-30.33,3116.63,-1913.89,0.15,8.3,1.63,0.85,16.52,0
1905703,172.86,105,88.57142857,93,11.42857143,12,12.90322581,86.7,-109.56,1249.47,-385.15,0.32,5.19,3.24,8.23,14.82,0
1851612,200.71,416,72.35576923,301,27.64423077,115,38.20598007,72.69,-14.68,2003.94,-648.07,0.33,16.44,3.09,3.26,17.5,88
1102318,105.4,4149,69.36611232,2878,30.63388768,1271,44.16261293,668.28,-100.45,15661.38,-10010.92,0.06,9.89,1.56,1.36,2.12,100
1788700,90.28,562,45.01779359,253,54.98220641,309,122.1343874,7.24,-4.58,378.91,-310.04,0.09,2.08,1.22,0.12,7.97,98
1795925,104.85,485,76.28865979,370,23.71134021,115,31.08108108,65.5,-36.08,1897.41,-850.04,0.26,15.69,2.23,2.16,11.55,100
1865131,118.23,451,76.05321508,343,23.94678492,108,31.48688047,21.44,-12.74,616.26,-290.79,0.22,18.56,2.12,0.72,20.35,100
1909561,267.89,561,97.68270945,548,2.317290553,13,2.372262774,183.04,-3168.3,9988.22,-9031.56,0.06,0.13,1.11,1.71,-26.21,0
1769128,312.03,1326,74.35897436,986,25.64102564,340,34.48275862,174.9,-110.28,7087.47,-3967.16,0.11,4.15,1.79,2.35,23.65,90
1818068,67.24,120,76.66666667,92,23.33333333,28,30.43478261,47.88,-19.02,828.52,-156.1,0.55,16.41,5.31,5.6,14.03,98
1729646,113.13,738,77.37127371,571,22.62872629,167,29.2469352,113.52,-48.88,1507.24,-578.04,0.19,12.21,2.61,1.26,9.23,100
1543349,143.89,1207,78.21043911,944,21.78956089,263,27.86016949,599.54,-361.42,18362.14,-8564.63,0.15,12.12,2.14,8.12,1.88,97
1915229,113.92,777,71.42857143,555,28.57142857,222,40,26.6,-28.08,1949.49,-920.38,0.17,31.25,2.12,1.32,5.88,99
871735,103.34,901,67.59156493,609,32.40843507,292,47.94745484,25.75,-44.06,1949.24,-1742.56,0.07,2.07,1.12,0.23,13.73,99
1839898,98.86,354,66.10169492,234,33.89830508,120,51.28205128,14.7,-15.46,338.12,-239.26,0.11,2.99,1.41,0.28,18.72,92
1870146,167.18,191,78.0104712,149,21.9895288,42,28.18791946,592.94,-952.02,12295.82,-6302.31,0.21,6.3,1.95,31.38,36.04,38
1338807,496.28,473,82.66384778,391,17.33615222,82,20.97186701,11.68,-20.4,652.32,-239.18,0.26,9.32,2.73,0.87,2.17,0
1755063,98.53,2210,67.60180995,1494,32.39819005,716,47.92503347,63.54,-57.25,3059.48,-1742.89,0.14,7.85,1.76,0.6,4.25,67
1875453,183.98,53,75.47169811,40,24.52830189,13,32.5,6.31,-6.53,126.41,-34.47,0.58,6.91,3.67,1.73,36.54,100
1815102,161.69,147,78.23129252,115,21.76870748,32,27.82608696,2033.56,-8025.38,17913.19,-20908.93,-0.13,-0.3,0.86,-20.38,11.46,100
1843087,185.93,570,73.50877193,419,26.49122807,151,36.03818616,69.52,-20.91,1345.56,-606.83,0.2,9.32,2.22,1.3,22.49,98
1828093,142.69,148,85.81081081,127,14.18918919,21,16.53543307,29.47,-19.4,479.34,-113.08,0.49,18.88,4.24,2.47,22.89,0
1805452,165.95,155,85.16129032,132,14.83870968,23,17.42424242,23.43,-31.73,349.75,-79.43,0.33,8.52,4.4,1.74,29.94,0
1789589,90.56,1276,75.86206897,968,24.13793103,308,31.81818182,2257.92,-832.8,20807.11,-12670.78,0.08,3.4,1.64,6.38,1.93,100
1708098,93.04,337,58.45697329,197,41.54302671,140,71.06598985,53.94,-22.64,886.16,-561.05,0.16,3.27,1.58,0.96,6.33,100
1202927,88.26,1232,65.82792208,811,34.17207792,421,51.91122072,23.2,-42.66,1831.09,-1454.29,0.1,1.44,1.26,0.31,-0.4,87
1713835,60.51,280,73.57142857,206,26.42857143,74,35.9223301,10.34,-34.76,221.55,-196.96,0.08,0.25,1.12,0.09,-18.15,100
1648082,91.49,1509,73.35984095,1107,26.64015905,402,36.31436314,39.76,-43.31,4767.86,-2938.16,0.15,42.25,1.62,1.21,4.3,97
1880838,99.07,129,56.58914729,73,43.41085271,56,76.71232877,20.01,-18.44,334.21,-198.95,0.19,1.82,1.68,1.05,31.04,0
1878904,470.78,96,71.875,69,28.125,27,39.13043478,166.02,-42.62,1645.7,-252.27,0.5,12.31,6.52,14.51,36.06,0
1831201,350.33,609,89.4909688,545,10.5090312,64,11.74311927,163.05,-181.14,6577.49,-2604.86,0.28,3.33,2.53,6.52,11.7,0
1802210,92.9,807,68.27757125,551,31.72242875,256,46.46098004,175.19,-77.68,4393.74,-1558.78,0.2,32.1,2.82,3.51,7.27,100
1757335,625.74,329,80.85106383,266,19.14893617,63,23.68421053,412.29,-130.5,5509.83,-2558.11,0.27,16.71,2.15,8.97,6.26,100
1871277,65.31,138,60.86956522,84,39.13043478,54,64.28571429,24.94,-18.95,388.24,-299.25,0.12,0.8,1.3,0.64,-29.04,0
1829136,98.97,352,72.72727273,256,27.27272727,96,37.5,81.46,-18.97,1210.25,-527.29,0.21,6.22,2.3,1.94,7.65,75
1771966,88.9,809,64.64771323,523,35.35228677,286,54.68451243,111.64,-32.94,3289.89,-1862.57,0.16,3.23,1.77,1.76,4.34,100
1527809,123.17,1582,72.37673831,1145,27.62326169,437,38.16593886,878,-477.14,21121.99,-13938.84,0.07,4.46,1.52,4.54,13.25,90
1071496,270.54,10457,70.60342354,7383,29.39657646,3074,41.63619125,1455.3,-228.78,34621.56,-20347.25,0.04,9.78,1.7,1.37,3.23,100
1266385,57.59,5506,64.78387214,3567,35.21612786,1939,54.35940566,7.28,-9.45,2089.2,-1922.74,0.05,1.37,1.09,0.03,-18.39,99
1689186,87.71,555,75.4954955,419,24.5045045,136,32.45823389,189.77,-63.87,3574.23,-1869.97,0.19,10.61,1.91,3.07,6.31,97
1735923,56.74,773,77.10219922,596,22.89780078,177,29.69798658,42.31,-61.24,3502.66,-3108.08,0.07,1.1,1.13,0.51,-18.32,99
762818,73.53,1408,48.93465909,689,51.06534091,719,104.3541364,529.97,-526.13,80817.5,-73467.17,0.06,1.29,1.1,5.22,-5.06,99
1711692,85.29,1487,75.25218561,1119,24.74781439,368,32.88650581,197.42,-58.58,3082.49,-1175.89,0.15,13.38,2.62,1.28,2.65,99
